PA_ID,NAME,TYPE,TYPE_ABBR,IUCN,NRS_PA,GAZ_AREA,GIS_AREA,REPT_AREA,GAZ_DATE,LATEST_GAZ,STATE,AUTHORITY,DATASOURCE,GOVERNANCE,COMMENTS,ENVIRON,OVERLAP,X_COORD,Y_COORD,MGT_PLAN,RES_NUMBER,SHAPE_AREA,SHAPE_LEN
ACT_47,Old Naas TSR,Nature Reserve,NR,IV,Y,0.00000000,18.81088845,18.81088845,18/03/2013,18/03/2013,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.05521122,-35.60191670,N,ACT47,0.00001871038,0.02024233498
ACT_42,Stony Creek,Nature Reserve,NR,IV,Y,0.00000000,827.45345737,827.45345737,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,148.95696838,-35.29320589,M,ACT42,0.00081992689,0.36844906197
ACT_43,Swamp Creek,Nature Reserve,NR,IV,Y,0.00000000,154.95990553,154.95990553,31/03/2008,31/03/2008,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,148.93207038,-35.24285797,M,ACT43,0.00015345763,0.08892080610
ACT_44,Tidbinbilla,Nature Reserve,NR,II,Y,0.00000000,5136.24029962,5136.24029962,14/09/1993,20/03/2012,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,148.89296558,-35.49093076,M,ACT44,0.00509986380,0.84600271611
ACT_46,Woodstock,Nature Reserve,NR,IV,Y,0.00000000,342.57263378,342.57263378,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,148.96635495,-35.24067372,M,ACT46,0.00033921579,0.13834214337
ACT_12,McQuoids Hill,Nature Reserve,NR,IV,Y,0.00000000,61.66991109,61.66991109,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.03514220,-35.38178350,M,ACT12,0.00006117483,0.03135141986
ACT_31,Dunlop Grassland,Nature Reserve,NR,IV,Y,0.00000000,105.70971634,105.70971634,12/12/1997,12/12/1997,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.02915995,-35.18180323,M,ACT31,0.00010461200,0.07436569983
ACT_36,Kama,Nature Reserve,NR,IV,Y,0.00000000,154.75561529,154.75561529,12/12/2008,12/12/2008,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.02560097,-35.26743582,M,ACT36,0.00015330025,0.05262404467
ACT_02,Aranda Bushland,Nature Reserve,NR,IV,Y,0.00000000,109.97494519,109.97494519,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.08053658,-35.26900204,M,ACT02,0.00010894272,0.06796293267
ACT_06,Farrer Ridge,Nature Reserve,NR,IV,Y,0.00000000,195.42222566,195.42222566,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.10425315,-35.38774779,M,ACT06,0.00019386018,0.09022964266
ACT_09,Jerrabomberra Wetlands,Nature Reserve,NR,IV,Y,0.00000000,214.68534222,214.68534222,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.15872850,-35.31017094,M,ACT09,0.00021277627,0.07930585628
ACT_14,Mt Majura,Nature Reserve,NR,IV,Y,0.00000000,349.06991738,349.06991738,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.17919053,-35.23398181,M,ACT14,0.00034564661,0.09970809820
ACT_17,Mt Mugga Mugga,Nature Reserve,NR,IV,Y,0.00000000,151.26449105,151.26449105,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.12219605,-35.35215188,M,ACT17,0.00014999396,0.10116618462
ACT_18,Mt Taylor,Nature Reserve,NR,IV,Y,0.00000000,301.41118391,301.41118391,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.07378963,-35.36982795,M,ACT18,0.00029894803,0.14948272633
ACT_11_26,Unnamed,Nature Reserve,NR,IV,Y,0.00000000,219.59662161,219.59662161,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.13055165,-35.45025250,M,ACT_11_26,0.00021800242,0.13328523591
ACT_03,Black Mountain,Nature Reserve,NR,IV,Y,0.00000000,461.78542413,461.78542413,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.09665897,-35.27034913,M,ACT03,0.00045745826,0.10012232764
ACT_04,Bruce Ridge,Nature Reserve,NR,IV,Y,0.00000000,96.73576803,96.73576803,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.10050279,-35.25586140,M,ACT04,0.00009581245,0.06014932911
ACT_07,Gossan Hill,Nature Reserve,NR,IV,Y,0.00000000,47.31315561,47.31315561,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.08427960,-35.24645469,M,ACT07,0.00004685638,0.04722740565
ACT_08,Isaacs Ridge,Nature Reserve,NR,IV,Y,0.00000000,325.00696993,325.00696993,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.12802935,-35.37786825,M,ACT08,0.00032235600,0.10973200089
ACT_10,Wanniassa Hills,Nature Reserve,NR,IV,Y,0.00000000,281.58669564,281.58669564,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.11968640,-35.38933364,M,ACT10,0.00027936692,0.16224119388
ACT_13,Mt Ainslie,Nature Reserve,NR,IV,Y,0.00000000,770.14873200,770.14873200,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.16758878,-35.26756819,M,ACT13,0.00076290673,0.13328044104
ACT_15,Mt Painter,Nature Reserve,NR,IV,Y,0.00000000,89.95895851,89.95895851,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.06393875,-35.26791928,M,ACT15,0.00008911339,0.08095954615
ACT_16,Mt Pleasant,Nature Reserve,NR,IV,Y,0.00000000,64.94200105,64.94200105,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.15809505,-35.29496847,M,ACT16,0.00006435268,0.06410543712
ACT_19,O'Connor Ridge,Nature Reserve,NR,IV,Y,0.00000000,58.70251272,58.70251272,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.11245215,-35.24885326,M,ACT19,0.00005813727,0.04171956311
ACT_20,Oakey Hill,Nature Reserve,NR,IV,Y,0.00000000,65.60806510,65.60806510,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.06904586,-35.33925239,M,ACT20,0.00006504766,0.04750429487
ACT_24,Tuggeranong Hill,Nature Reserve,NR,IV,Y,0.00000000,336.88681915,336.88681915,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.11102926,-35.45378121,M,ACT24,0.00033447557,0.18656207541
ACT_28,Crace,Nature Reserve,NR,IV,Y,0.00000000,165.29252694,165.29252694,15/12/1995,15/12/1995,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.13257927,-35.22737278,M,ACT28,0.00016365831,0.05680590910
